URL,Owner,Repo,Severity,Type,Score,Cyrillic,Entropy Files,YARA Matches,Status
https://github.com/Tarkov-loot-ESP-rom720/.github,Tarkov-loot-ESP-rom720,.github,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/VMONSTER-ESP-for-Escape-from-Tarkov/VMONSTER-esp-for-EFT,VMONSTER-ESP-for-Escape-from-Tarkov,VMONSTER-esp-for-EFT,HIGH,YARA_MATCH,61,False,0,2,PENDING
https://github.com/Tarkov-ESP/EFT-ESP,Tarkov-ESP,EFT-ESP,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/ABS-for-Escape-from-Tarkov/ABS-for-EFT,ABS-for-Escape-from-Tarkov,ABS-for-EFT,HIGH,YARA_MATCH,53,False,0,2,PENDING
https://github.com/BC-for-EFT-Arena/BC-for-Escape-From-Tarkov-Arena,BC-for-EFT-Arena,BC-for-Escape-From-Tarkov-Arena,HIGH,YARA_MATCH,53,False,0,2,PENDING
https://github.com/Tarkov-Arena-ESP-Triggerbot/eft-arena-esp-triggerbot,Tarkov-Arena-ESP-Triggerbot,eft-arena-esp-triggerbot,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/EFT-ESP-Triggerbot/eft-esp-triggerbot,EFT-ESP-Triggerbot,eft-esp-triggerbot,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/EFT-Hack/.github,EFT-Hack,.github,HIGH,YARA_MATCH,46,False,0,1,PENDING
https://github.com/EFT-ESP-Hack-lager/.github,EFT-ESP-Hack-lager,.github,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/bevers-EFT-ESP-Hack/.github,bevers-EFT-ESP-Hack,.github,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/stafbomjvatake8/Escape-Mod-Hack,stafbomjvatake8,Escape-Mod-Hack,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/gamerquantterry9/becvvkwwsa,gamerquantterry9,becvvkwwsa,HIGH,YARA_MATCH,100,False,0,3,PENDING
https://github.com/carloedeil5848/VeilWarp,carloedeil5848,VeilWarp,HIGH,YARA_MATCH,84,False,0,3,PENDING
https://github.com/remsi85chester/WraithVault,remsi85chester,WraithVault,HIGH,YARA_MATCH,85,False,0,2,PENDING
https://github.com/shaftes109/ShadowStrike,shaftes109,ShadowStrike,HIGH,YARA_MATCH,69,False,0,2,PENDING
https://github.com/GrandHecu/SKY_EFT_Tarkov_FreeHackVersion,GrandHecu,SKY_EFT_Tarkov_FreeHackVersion,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/muffinjameswoodson1996/EFTEdge,muffinjameswoodson1996,EFTEdge,HIGH,YARA_MATCH,94,False,0,1,PENDING
